FullGeoName,Pathogen Target,State/Territory,Counties Served,Location,Population Served,Source,Detection Category,Detection Count,Sample Count,Time Period,Table Time Period,Week End,Date Updated
,Measles virus,California,San Bernardino,Id:143,"890,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Solano,Id:2365,"155,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Yolo,Id:194,"59,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Los Angeles,Id:114,"3,500,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Luis Obispo,Id:164,"31,037",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Madera,Id:2453,"60,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Luis Obispo,Id:161,"15,000",CDC_Verily,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Los Angeles,Id:112,"200,000",CDC_Verily,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Barbara,Id:2347,"97,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Marin,Id:118,"104,250",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Cruz,Id:178,"94,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Nevada,Id:2199,"13,754",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Contra Costa,Id:99,"102,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Luis Obispo,Id:166,"39,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Diego,Id:145,"2,200,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Sonoma,Id:186,"28,000",CDC_Verily,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Luis Obispo,Id:160,"6,031",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Mateo,Id:169,"27,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Marin,Id:120,"30,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Barbara,Id:171,"69,290",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Mono,Id:126,"8,200",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Ventura,Id:190,"250,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Alameda,Id:2571,"342,000",WastewaterSCAN,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Alameda,Id:92,"229,476",WastewaterSCAN,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Monterey,Id:128,"16,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,El Dorado,Id:101,"30,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Marin,Id:121,"53,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,"Santa Cruz, Monterey",Id:180,"60,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,"San Francisco, San Mateo",Id:147,"250,000",WastewaterSCAN,No Detection,0,6,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Stanislaus,Id:187,"230,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Mateo,Id:170,"199,000",WastewaterSCAN,No Detection,0,5,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,El Dorado,Id:2346,"125,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Alameda,Id:2601,"95,000",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Alameda,Id:2573,"160,000",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Alameda,Id:2572,"150,000",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Benito,Id:141,"43,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Mateo,Id:168,"150,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Joaquin,Id:155,"68,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Cruz,Id:177,"164,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,"Ventura, Los Angeles",Id:115,"75,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,"Ventura, Los Angeles",Id:113,"4,000,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Stanislaus,Id:188,"86,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Riverside,Id:139,"91,765","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,"San Francisco, San Mateo",Id:148,"750,000",WastewaterSCAN,No Detection,0,7,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Contra Costa,Id:97,"495,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Solano,Id:183,"121,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Clara,Id:173,"153,000",WastewaterSCAN,No Detection,0,7,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Placer,Id:2348,"127,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,San Joaquin,Id:157,"29,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Clara,Id:174,"110,338",WastewaterSCAN,No Detection,0,7,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Monterey,Id:127,"262,000",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Yolo,Id:193,"68,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,California,Santa Cruz,Id:179,"70,000","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Pueblo,Id:252,"96,514",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Weld,Id:264,"83,319",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,El Paso,Id:224,"303,855",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Mesa,Id:242,"89,286",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Jefferson,Id:198,"345,453",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,El Paso,Id:223,"102,204",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Douglas,Id:213,"60,571",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,La Plata,Id:232,"23,429",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,"Arapahoe, Adams",Id:195,"268,003",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Denver,Id:199,"709,904",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Douglas,Id:214,"35,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,San Miguel,Id:255,"15,000",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Otero,Id:246,"29,643",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Garfield,Id:229,"16,714",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Boulder,Id:205,"89,383",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Arapahoe,Id:203,"247,443",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Douglas,Id:215,"25,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Summit,Id:260,"35,643",State_Territory,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Larimer,Id:235,"92,126",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Alamosa,Id:201,"18,364",State_Territory,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Adams,Id:2364,"40,071",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Colorado,Pitkin,Id:249,"5,500",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Connecticut,Fairfield,Id:272,"52,268",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Connecticut,Fairfield,Id:270,"45,878",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Connecticut,Fairfield,Id:271,"72,914",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Connecticut,Fairfield,Id:268,"140,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Connecticut,New London,Id:278,"41,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,Sussex,Id:290,"7,000","State_Territory, WastewaterSCAN",No Detection,0,5,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,Sussex,Id:284,"7,000",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,New Castle,Id:283,"539,000",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,New Castle,Id:281,"17,145",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,Sussex,Id:287,"4,392",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,Sussex,Id:288,"4,050",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,Sussex,Id:289,"75,000",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Delaware,Kent,Id:286,"130,000",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,District of Columbia,"Fairfax, Prince Georges, District Of Columbia, Loudoun, Montgomery, Arlington",Id:300,"1,600,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Leon,Id:307,"212,065",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Orange,Id:313,"277,823","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,"Orange, Seminole",Id:324,"95,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Pinellas,Id:318,"89,847",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Orange,Id:312,"80,000","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Escambia,Id:304,"207,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Pinellas,Id:320,"47,790",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Miami-Dade,Id:308,"829,725","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,"Martin, Palm Beach",Id:316,"90,000","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Orange,Id:314,"66,690","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Orange,Id:315,"463,672","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Pinellas,Id:319,"94,218",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Florida,Miami-Dade,Id:309,"776,150","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,Fulton,Id:338,"190,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,Fulton,Id:341,"70,887",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,"Cherokee, Fulton",Id:326,"12,818",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,"Muscogee, Chattahoochee",Id:346,"278,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,Fulton,Id:339,"600,000",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,Fulton,Id:340,"105,160",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,Fulton,Id:337,"189,593",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Georgia,Fulton,Id:336,"84,486",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Guam,Guam,Id:2188,"64,247",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Guam,Guam,Id:2187,"14,535",CDC_Verily,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Guam,Guam,Id:2186,"70,486",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Hawaii,Id:357,"32,604",CDC_Verily,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Honolulu,Id:362,"19,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Maui,Id:367,"46,800",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Maui,Id:368,"50,700",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Maui,Id:369,"58,900",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Honolulu,Id:358,"101,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Honolulu,Id:359,"300,000","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Honolulu,Id:360,"400,000","CDC_Verily, WastewaterSCAN",No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Hawaii,Honolulu,Id:361,"47,000",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Idaho,Bannock,Id:375,"74,708",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Idaho,Kootenai,Id:386,"50,540",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Idaho,Latah,Id:2287,"25,500",CDC_Verily,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Idaho,Ada,Id:372,"206,629","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Idaho,Ada,Id:370,"97,237","CDC_Verily, WastewaterSCAN",No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Cook,Id:425,"77,799",State_Territory,No Detection,0,1,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Cook,Id:416,"125,995",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Cook,Id:414,"23,475",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Du Page,Id:441,"63,000",WastewaterSCAN,No Detection,0,3,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Du Page,Id:438,"86,000",WastewaterSCAN,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
,Measles virus,Illinois,Cook,Id:427,"29,370",State_Territory,No Detection,0,2,"May 24, 2026 - May 30, 2026","April 19, 2026 - May 30, 2026",2026-05-30,"June 04, 2026 3:40 AM"
